개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
올림픽공원 인조잔디축구장,올림픽공원,축구장,연중무휴,07:00,21:00,07:00,21:00,N,,,,,100,,,인터넷,,경상남도 창원시 성산구 두대로 198,경상남도 창원시 성산구 중앙동 119,경상남도 창원시 성산구청 산림농정과,중앙동행정복지센터,055-272-5219,https://www.changwon.go.kr/booking/10032/10082/10088.web?amode=view&expId=EX000030&fcd=T095,35.22436231,128.6618184,2025-06-13
가음정동행정복지센터 3층 다목적실,가음정동행정복지센터,다목적실,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,기본30000+부대시설비 15000~20000,,,150,,냉방기+난방기,,,경상남도 창원시 성산구 가음로13번길 31,경상남도 창원시 성산구 남양동 9,경상남도 창원시 성산구청,가음정동행정복지센터 총무팀,055-225-5515,,35.21290397,128.7004314,2025-06-13
가음정동행정복지센터 2층 회의실,가음정동행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,기본30000+부대시설비 15000~20000,,,50,,냉방기+난방기+빔프로젝트,,,경상남도 창원시 성산구 가음로13번길 31,경상남도 창원시 성산구 남양동 9,경상남도 창원시 성산구청,가음정동행정복지센터 총무팀,055-225-5515,,35.21290397,128.7004314,2025-06-13
남산녹지공원 축구장,남산녹지공원,축구장,연중무휴,07:00,21:00,07:00,21:00,N,,,,,,,,인터넷,,경상남도 창원시 성산구 가음정로 170,경상남도 창원시 성산구 가음동 28,경상남도 창원시 성산구청,가음정동행정복지센터 생활행정팀,055-225-5564,,35.20169801,128.6989229,2025-06-13
가음정공원 다목적구장,가음정공원,다목적경기장,연중무휴,07:00,21:00,07:00,21:00,N,,,,,,,,인터넷,,,경상남도 창원시 성산구 가음정동 591,경상남도 창원시 성산구청,가음정동행정복지센터 생활행정팀,055-225-5564,,35.21162709,128.6843346,2025-06-13
성주주민운동장(성주동 체육공원),성주주민운동장,축구장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,,,인터넷(공유누리)+방문,,,경상남도 창원시 성산구 천선동 1216-1,경상남도 창원시 성산구청,성주동행정복지센터 총무팀,055-272-5617,,35.18399077,128.6972106,2025-06-13
삼귀민원센터 센터2층,삼귀민원센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,,,,,,,,,,경상남도 창원시 성산구 귀산로58번길 8,,경상남도 창원시 성산구청,웅남동행정복지센터,,,35.16613239,128.615416,2025-06-13
웅남동행정복지센터 본관4층,웅남동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,,,,,,,,,,경상남도 창원시 성산구 신촌로 50,,경상남도 창원시 성산구청,웅남동행정복지센터,,,35.20533796,128.6271672,2025-06-13
마산합포구청 대회의실,마산합포구청,회의실,연중무휴,09:00,20:00,09:00,18:00,Y,1.5,30000,1,15000,512,,빔프로젝터+전자현수막,,,경상남도 창원시 마산합포구 3·15대로 210,,경상남도 창원시 마산합포구청,행정과 경리팀,055-220-4045,,35.19695427,128.5678636,2025-06-13
우산동문화공원 테니스장 코드2,우산동문화공원,테니스장,연중무휴,09:00,21:00,09:00,21:00,N,,,,,,250,,인터넷,,,경상남도 창원시 마산합포구 우산동 300-3,경상남도 창원시 마산합포구청,수산산림과,055-220-4505,https://www.changwon.go.kr/booking/10032/10085/10104.web?amode=view&expId=EX000046&fcd=T109,35.15680036,128.5502082,2025-06-13
우산동문화공원 테니스장 코드1,우산동문화공원,테니스장,연중무휴,09:00,21:00,09:00,21:00,N,,,,,,250,,인터넷,,,경상남도 창원시 마산합포구 우산동 300-3,경상남도 창원시 마산합포구청,수산산림과,055-220-4505,https://www.changwon.go.kr/booking/10032/10085/10104.web?amode=view&expId=EX000046&fcd=T109,35.15680036,128.5502082,2025-06-13
구산면행정복지센터 2층,구산면행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,30000,1,15000,50,408.96,빔프로젝터+마이크+엠프+냉난방기+의자+책상+화이트보드,방문+전화,https://www.eshare.go.kr/UserPortal/Upv/UprResrcFacl/index.do?rsrc_no=BA10A0004456,경상남도 창원시 마산합포구 구산면 구산로 554,경상남도 창원시 마산합포구 구산면 수정리 654-3,경상남도 창원시 마산합포구청,구산면행정복지센터 총무팀,055-220-5025,https://www.eshare.go.kr/UserPortal/Upv/UprResrcFacl/index.do?rsrc_no=BA10A0004456,35.11970441,128.5808138,2025-06-13
진동면행정복지센터 4층,진동면행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,1,기본30000,1,15000,200,,,,,경상남도 창원시 마산합포구 진동면 신서촌로11,,경상남도 창원시 마산합포구청,진동면행정복지센터 총무팀,055-220-5095,,35.11581621,128.4842223,2025-06-13
진북면행정복지센터 2층회의실,진북면행정복지센터,회의실,주말+공휴일+주민자치프로그램 운영시간+진북면 관련 행사 및 회의시,09:00,18:00,00:00,00:00,Y,1,기본30000(1시간 30분미만)+시간당15000+냉방기15000+난방기20000,1,15000,30,,,,,경상남도 창원시 마산합포구 진북면 지산5길 80,,경상남도 창원시 마산합포구청,진북면행정복지센터 총무팀,055-220-5174,,35.1155037,128.4674353,2025-06-13
진전면 행정복지센터 회의실,진전면 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산합포구 진전면 대실로 155,,경상남도 창원시 마산합포구청,진전면 행정복지센터,,,35.10287191,128.4189787,2025-06-13
현동행정복지센터 4층 대강당,현동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,30000,,,50,,빔프로젝터+책상+의자+마이크+엠프+화이트보드,인터넷+방문,,경상남도 창원시 마산합포구 현동7길27,,경상남도 창원시청,현동행정복지센터 총무팀,055-220-5323,,35.1498892,128.5537992,2025-06-13
현동행정복지센터 3층 소회의실,현동행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,30000,,,20,,빔프로젝터+책상+의자+마이크+엠프+화이트보드,인터넷+방문,,경상남도 창원시 마산합포구 현동7길27,,경상남도 창원시청,현동행정복지센터 총무팀,055-220-5323,,35.1498892,128.5537992,2025-06-13
반월민원센터 회의실,반월민원센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산합포구 3·15대로 121,,경상남도 창원시 마산합포구청,반월중앙동행정복지센터,,,35.1903596,128.5624197,2025-06-13
반월민원센터 강당,반월민원센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산합포구 3·15대로 121,,경상남도 창원시 마산합포구청,반월중앙동행정복지센터,,,35.1903596,128.5624197,2025-06-13
반월중앙동행정복지센터 강당,반월중앙동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산합포구 중앙남5길 45,,경상남도 창원시 마산합포구청,반월중앙동행정복지센터,,,35.1940984,128.5641367,2025-06-13
반월중앙작은역사박물관,반월중앙작은역사박물관,전시실,주말+공휴일,12:00,16:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산합포구 중앙남5길 45,,경상남도 창원시 마산합포구청,반월중앙동행정복지센터,,,35.1940984,128.5641367,2025-06-13
자산동행정복지센터 3층강당,자산동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,기본30000,1.5,15000,100,,앰프+냉방기+난방기+영사기+조명시설,방문+전화,,경상남도 창원시 마산합포구 자산동5길 1,,경상남도 창원시 마산합포구청,자산동행정복지센터 총무팀,055-220-5628,,35.20550727,128.5654771,2025-06-13
성호민원센터 강당,성호민원센터,강당,주말+공휴일+주민자치프로그램 운영시간,09:00,18:00,00:00,00:00,Y,1.5,30000,1,15000,50,,냉난방기,인터넷+방문,https://www.eshare.go.kr/UserPortal/Upv/UprResrcFacl/index.do?rsrc_no=BH14J3058377,"경상남도 창원시 마산합포구 몽고정길 30, 3층",,경상남도 창원시 마산합포구청,오동동행정복지센터 총무팀,055-220-5670,www.eshare.go.kr,35.20743858,128.5726531,2025-06-13
오동동행정복지센터 강당,오동동행정복지센터,강당,주말+공휴일+주민자치프로그램 운영시간,09:00,18:00,00:00,00:00,Y,1.5,30000,1,15000,50,,냉난방기,인터넷+방문,https://www.eshare.go.kr/UserPortal/Upv/UprResrcFacl/index.do?rsrc_no=BH14J4225513,"경상남도 창원시 마산합포구 동서북4길 13, 3층",,경상남도 창원시 마산합포구청,오동동행정복지센터 총무팀,055-220-5670,www.eshare.go.kr,35.20426057,128.573707,2025-06-13
합포동행정복지센터 3층,합포동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,,,,,100,,,,,경상남도 창원시 마산합포구 허당로 31,,경상남도 창원시 마산합포구청,합포동행정복지센터 총무팀,055-220-5868,,35.21093149,128.5792897,2025-06-13
구암스포츠센터 청년소통공간 「소통하실」,구암스포츠센터,기타,일요일+공휴일,11:00,17:00,12:00,16:00,N,,,,,20,,,,,경상남도 창원시 마산회원구 구암서2길 70(구암동),,경상남도 창원시 창원시설공단,기획감사팀,055-230-4024,,35.24851899,128.5926339,2025-06-13
원계근린공원 마산 풋살장,원계근린공원,풋살경기장,연중무휴,07:00,22:00,07:00,22:00,N,,,,,,,,,,,경상남도 창원시 마산회원구 내서읍 원계리 400-1,경상남도 창원시 마산회원구청,산림농정과공원녹지팀,055-230-4506,,35.23749299,128.5058219,2025-06-13
내서읍행정복지센터 본관 3층,내서읍행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,,경상남도 창원시 마산회원구청,내서읍 행정복지센터 총무팀,055-230-5038,,35.24678798,128.5076489,2025-06-13
내서읍행정복지센터 본관 2층,내서읍행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,,경상남도 창원시 마산회원구청,내서읍 행정복지센터 총무팀,055-230-5038,,35.24678798,128.5076489,2025-06-13
내서읍행정복지센터 본관 앞,내서읍행정복지센터,기타,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,,경상남도 창원시 마산회원구청,내서읍 행정복지센터 총무팀,055-230-5038,,35.24678798,128.5076489,2025-06-13
석전동 주민운동장 족구장,석전동 주민운동장,족구장,연중무휴,06:00,23:00,06:00,23:00,Y,,,,,,,,,,경상남도 창원시 마산회원구 석전북3길 83,,경상남도 창원시 마산회원구청,석전동행정복지센터,,,35.23653658,128.5741874,2025-06-13
석전동 주민운동장 풋살장,석전동 주민운동장,풋살경기장,연중무휴,06:00,23:00,06:00,23:00,Y,,,,,,,,,,경상남도 창원시 마산회원구 석전북3길 83,,경상남도 창원시 마산회원구청,석전동행정복지센터,,,35.23653658,128.5741874,2025-06-13
석전동 주민운동장 축구장,석전동 주민운동장,축구장,연중무휴,06:00,23:00,06:00,23:00,Y,,,,,,,,,,경상남도 창원시 마산회원구 석전북3길 83,,경상남도 창원시 마산회원구청,석전동행정복지센터,,,35.23653658,128.5741874,2025-06-13
구암1동행정복지센터 다목적회의실,구암1동행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산회원구 구암서8길 25,,경상남도 창원시 마산회원구청,구암1동행정복지센터 총무팀,,,35.25014599,128.5950289,2025-06-13
봉암동행정복지센터 족구장,봉암동행정복지센터,족구장,주말+공휴일,09:00,21:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 마산회원구 봉양로 148,,경상남도 창원시 마산회원구청,봉암동행정복지센터,,,35.21759677,128.6024701,2025-06-13
장애인어울림공원,장애인어울림공원,기타,주말+공휴일+우천 시,09:00,17:00,00:00,00:00,N,,,,,,,,인터넷+방문+전화,,경상남도 창원시 진해구 진해대로1137번길24,경상남도 창원시 진해구 장천동 141-4,경상남도 창원시 진해구청,가정복지과 노인장애인팀,055-548-4387,,35.12863658,128.7118633,2025-06-13
태백동스포츠파크 풋살장,태백동스포츠파크,풋살경기장,연중무휴,07:00,22:00,07:00,22:00,N,,,,,,,,,,경상남도 창원시 진해구 태백서로 92,,경상남도 창원시 진해구청,태백동행정복지센터 맞춤형복지팀,055-548-6322,,35.15806087,128.6736061,2025-06-13
이동레포츠공원 풋살장,이동레포츠공원,풋살경기장,연중무휴,08:00,22:00,08:00,22:00,N,,,,,,,,,,경상남도 창원시 진해구 충장로468번길 47,,경상남도 창원시 진해구청,이동행정복지센터,,,35.14767473,128.694625,2025-06-13
이동레포츠공원 족구장,이동레포츠공원,족구장,연중무휴,08:00,18:00,08:00,18:00,N,,,,,,,,,,경상남도 창원시 진해구 충장로468번길 47,,경상남도 창원시 진해구청,이동행정복지센터,,,35.14767473,128.694625,2025-06-13
이동운동장 축구장,이동운동장,축구장,연중무휴,09:00,18:00,09:00,18:00,Y,,,,,,,,,,경상남도 창원시 진해구 이동로2번길 8,,경상남도 창원시 진해구청,이동행정복지센터,,,35.15098238,128.6915811,2025-06-13
풍호풋살장,풍호풋살장,풋살경기장,연중무휴,08:00,22:00,08:00,22:00,N,2,,,,,,,,,,경상남도 창원시 진해구 풍호동 23,경상남도 창원시 진해구청,풍호동행정복지센터,,,35.13539765,128.7132712,2025-06-13
풍호축구장,풍호축구장,축구장,연중무휴,09:00,18:00,09:00,18:00,Y,4,평일50000+주말60000,,,,,,,,,경상남도 창원시 진해구 풍호동 789-33,경상남도 창원시 진해구청,풍호동행정복지센터,,,35.13593751,128.7137393,2025-06-13
용원주민운동장,용원주민운동장,다목적경기장,설연휴+추석연휴+공휴일,06:00,22:00,06:00,22:00,Y,4,평일주간50000+평일야간75000+주말주간60000+주말야간90000,,,,,,인터넷,https://www.changwon.go.kr/booking/10032/10082/10093.web?amode=view&expId=EX000104&fcd=T117,경상남도 창원시 진해구 안청로 95,경상남도 창원시 진해구 청안동 319-5,경상남도 창원시 진해구청,웅동2동행정복지센터 총무팀,055-548-6816,,35.10676518,128.8028731,2025-06-13
웅동2동 풋살장2,웅동2동 풋살장2,풋살경기장,설연휴+추석연휴+공휴일,08:00,22:00,08:00,22:00,N,,,,,,,,인터넷,https://www.changwon.go.kr/booking/10032/10083/10099.web?amode=view&expId=EX000043&fcd=T107,경상남도 창원시 진해구 안청로 105,경상남도 창원시 진해구 청안동 480,경상남도 창원시 진해구청,웅동2동행정복지센터 총무팀,055-548-6816,,35.10653358,128.8038142,2025-06-13
웅동2동 풋살장1,웅동2동 풋살장1,풋살경기장,설연휴+추석연휴+공휴일,08:00,22:00,08:00,22:00,N,,,,,,,,인터넷,https://www.changwon.go.kr/booking/10032/10083/10099.web?amode=view&expId=EX000042&fcd=T107,경상남도 창원시 진해구 안청로 53,경상남도 창원시 진해구 청안동 478,경상남도 창원시 진해구청,웅동2동행정복지센터 총무팀,055-548-6816,,35.10328488,128.8027035,2025-06-13
웅동2동 족구장,웅동2동 족구장,족구장,설연휴+추석연휴+공휴일,08:00,22:00,08:00,22:00,N,,,,,,,,인터넷,https://www.changwon.go.kr/booking/10032/10084/10103.web?amode=view&expId=EX000044&fcd=T108,경상남도 창원시 진해구 안청로 53,경상남도 창원시 진해구 청안동 478,경상남도 창원시 진해구청,웅동2동행정복지센터 총무팀,055-548-6816,,35.10328488,128.8027035,2025-06-13
